article_id,cluster_id,dominant_topic
457434,0,9
2008485,0,5
2021946,0,1
2025595,0,0
2060872,0,9
2092686,0,6
2115319,0,3
2115330,0,7
2158132,0,3
2239728,0,7
2292360,0,2
2339286,0,5
2354712,0,7
429128,1,7
627043,1,1
704263,1,2
734285,1,1
1011081,1,7
1521144,1,7
1860324,1,0
1907918,1,7
1963245,1,7
1998813,1,1
2026013,1,5
2010882,1,1
2033521,1,7
2041615,1,7
2063107,1,0
2053825,1,7
2081578,1,2
2094538,1,1
2242251,1,0
2114216,1,9
2208607,1,9
2170124,1,0
2158690,1,7
2241438,1,0
2212524,1,2
2226371,1,9
2262917,1,7
2279161,1,0
2325276,1,2
2333865,1,0
2338356,1,3
2350926,1,7
2345105,1,7
2351271,1,3
2355199,1,9
2355237,1,4
340497,2,3
413890,2,5
419614,2,4
419795,2,9
422893,2,5
439459,2,4
428457,2,4
449428,2,7
458246,2,7
510857,2,2
512396,2,5
528443,2,8
540892,2,4
541160,2,5
587411,2,6
597596,2,4
634084,2,0
1138187,2,7
728906,2,8
777480,2,5
800487,2,4
821274,2,2
1092237,2,3
848839,2,4
898818,2,6
1081722,2,6
1092926,2,1
1138141,2,7
1227730,2,1
1262570,2,6
1281862,2,1
1330472,2,8
1438965,2,1
1497495,2,1
1596545,2,4
1696099,2,2
1807056,2,6
1850283,2,1
2095815,2,3
425465,3,8
517164,3,6
733976,3,9
560588,3,4
896313,3,6
615453,3,5
1655560,3,6
2224758,3,2
2231218,3,2
2241325,3,2
2311760,3,0
2334069,3,8
426218,4,8
578564,4,1
625786,4,8
824475,4,0
471744,4,0
494236,4,8
517355,4,8
528021,4,2
623292,4,3
625314,4,6
723811,4,6
746815,4,9
1549013,4,6
726445,4,4
796098,4,2
1006066,4,6
931403,4,9
943443,4,1
959740,4,8
1024713,4,9
1093474,4,0
1141524,4,2
1511077,4,9
1251068,4,6
1258901,4,9
1276621,4,9
1276661,4,9
1296929,4,6
1354803,4,6
1478103,4,1
1470385,4,7
1497161,4,2
1587993,4,7
1588501,4,0
1635467,4,8
1682674,4,3
1694081,4,9
1775573,4,0
1845206,4,1
1749828,4,3
1787828,4,9
1792524,4,6
1878824,4,2
1918680,4,9
1983397,4,9
2150382,4,9
2023525,4,6
2041653,4,7
2042107,4,9
2048393,4,1
2053959,4,9
2023465,4,7
2024078,4,4
2028224,4,9
2062426,4,6
2150320,4,0
2155952,4,6
2157012,4,9
2219618,4,6
2299880,4,6
2266890,4,0
2346100,4,1
2314180,4,7
1227928,5,9
1543153,5,9
1314239,5,2
1964200,5,3
1551502,5,8
1595579,5,3
2069978,5,5
2074813,5,6
2097544,5,1
2119419,5,9
2275096,5,8
2313930,5,2
436119,6,4
372284,6,6
476817,6,8
516003,6,8
516006,6,5
524887,6,4
524972,6,6
533829,6,6
559922,6,2
623417,6,9
676909,6,9
780740,6,8
793395,6,6
1421348,6,6
1480953,6,1
1498194,6,6
1704546,6,6
1554267,6,2
1679152,6,8
2134015,6,3
2137276,6,2
2169477,6,8
2186286,6,1
2194486,6,1
2207612,6,6
2235430,6,2
2284154,6,8
2313861,6,2
2339287,6,1
2353054,6,4
2348780,6,6
426824,7,4
2015530,7,7
455511,7,6
1896851,7,9
502563,7,9
517635,7,1
615461,7,4
623380,7,8
623485,7,6
726571,7,4
755329,7,5
757828,7,4
807615,7,1
920306,7,3
1089225,7,1
1228546,7,5
1227715,7,7
1240455,7,5
1279574,7,2
1293309,7,9
1478141,7,8
1479648,7,6
1566688,7,6
2144793,7,6
2222860,8,6
413742,8,9
552242,8,0
639144,8,9
825466,8,0
1578681,8,9
1811789,8,9
425589,9,3
457650,9,5
560493,9,7
678224,9,3
1298430,9,2
1584099,9,3
1936012,9,2
1979029,9,3
2101788,9,0
2104843,9,3
2150388,9,5
2203583,9,1
2274916,9,3
