Article ID: 457434, Cluster: 0, Dominant Topic: 1
Article ID: 2008485, Cluster: 0, Dominant Topic: 4
Article ID: 2021946, Cluster: 0, Dominant Topic: 2
Article ID: 2025595, Cluster: 0, Dominant Topic: 0
Article ID: 2060872, Cluster: 0, Dominant Topic: 5
Article ID: 2092686, Cluster: 0, Dominant Topic: 8
Article ID: 2115319, Cluster: 0, Dominant Topic: 8
Article ID: 2115330, Cluster: 0, Dominant Topic: 1
Article ID: 2158132, Cluster: 0, Dominant Topic: 1
Article ID: 2239728, Cluster: 0, Dominant Topic: 0
Article ID: 2292360, Cluster: 0, Dominant Topic: 0
Article ID: 2339286, Cluster: 0, Dominant Topic: 2
Article ID: 2354712, Cluster: 0, Dominant Topic: 5
Article ID: 429128, Cluster: 1, Dominant Topic: 9
Article ID: 627043, Cluster: 1, Dominant Topic: 8
Article ID: 704263, Cluster: 1, Dominant Topic: 4
Article ID: 734285, Cluster: 1, Dominant Topic: 3
Article ID: 1011081, Cluster: 1, Dominant Topic: 3
Article ID: 1521144, Cluster: 1, Dominant Topic: 9
Article ID: 1860324, Cluster: 1, Dominant Topic: 2
Article ID: 1907918, Cluster: 1, Dominant Topic: 0
Article ID: 1963245, Cluster: 1, Dominant Topic: 7
Article ID: 1998813, Cluster: 1, Dominant Topic: 7
Article ID: 2026013, Cluster: 1, Dominant Topic: 5
Article ID: 2010882, Cluster: 1, Dominant Topic: 4
Article ID: 2033521, Cluster: 1, Dominant Topic: 6
Article ID: 2041615, Cluster: 1, Dominant Topic: 2
Article ID: 2063107, Cluster: 1, Dominant Topic: 4
Article ID: 2053825, Cluster: 1, Dominant Topic: 2
Article ID: 2081578, Cluster: 1, Dominant Topic: 1
Article ID: 2094538, Cluster: 1, Dominant Topic: 8
Article ID: 2242251, Cluster: 1, Dominant Topic: 4
Article ID: 2114216, Cluster: 1, Dominant Topic: 6
Article ID: 2208607, Cluster: 1, Dominant Topic: 4
Article ID: 2170124, Cluster: 1, Dominant Topic: 5
Article ID: 2158690, Cluster: 1, Dominant Topic: 3
Article ID: 2241438, Cluster: 1, Dominant Topic: 5
Article ID: 2212524, Cluster: 1, Dominant Topic: 6
Article ID: 2226371, Cluster: 1, Dominant Topic: 0
Article ID: 2262917, Cluster: 1, Dominant Topic: 0
Article ID: 2279161, Cluster: 1, Dominant Topic: 1
Article ID: 2325276, Cluster: 1, Dominant Topic: 9
Article ID: 2333865, Cluster: 1, Dominant Topic: 9
Article ID: 2338356, Cluster: 1, Dominant Topic: 5
Article ID: 2350926, Cluster: 1, Dominant Topic: 0
Article ID: 2345105, Cluster: 1, Dominant Topic: 7
Article ID: 2351271, Cluster: 1, Dominant Topic: 5
Article ID: 2355199, Cluster: 1, Dominant Topic: 8
Article ID: 2355237, Cluster: 1, Dominant Topic: 2
Article ID: 340497, Cluster: 2, Dominant Topic: 1
Article ID: 413890, Cluster: 2, Dominant Topic: 6
Article ID: 419614, Cluster: 2, Dominant Topic: 0
Article ID: 419795, Cluster: 2, Dominant Topic: 4
Article ID: 422893, Cluster: 2, Dominant Topic: 9
Article ID: 439459, Cluster: 2, Dominant Topic: 2
Article ID: 428457, Cluster: 2, Dominant Topic: 3
Article ID: 449428, Cluster: 2, Dominant Topic: 0
Article ID: 458246, Cluster: 2, Dominant Topic: 3
Article ID: 510857, Cluster: 2, Dominant Topic: 5
Article ID: 512396, Cluster: 2, Dominant Topic: 5
Article ID: 528443, Cluster: 2, Dominant Topic: 5
Article ID: 540892, Cluster: 2, Dominant Topic: 1
Article ID: 541160, Cluster: 2, Dominant Topic: 4
Article ID: 587411, Cluster: 2, Dominant Topic: 4
Article ID: 597596, Cluster: 2, Dominant Topic: 7
Article ID: 634084, Cluster: 2, Dominant Topic: 1
Article ID: 1138187, Cluster: 2, Dominant Topic: 8
Article ID: 728906, Cluster: 2, Dominant Topic: 4
Article ID: 777480, Cluster: 2, Dominant Topic: 6
Article ID: 800487, Cluster: 2, Dominant Topic: 3
Article ID: 821274, Cluster: 2, Dominant Topic: 4
Article ID: 1092237, Cluster: 2, Dominant Topic: 7
Article ID: 848839, Cluster: 2, Dominant Topic: 6
Article ID: 898818, Cluster: 2, Dominant Topic: 0
Article ID: 1081722, Cluster: 2, Dominant Topic: 1
Article ID: 1092926, Cluster: 2, Dominant Topic: 8
Article ID: 1138141, Cluster: 2, Dominant Topic: 2
Article ID: 1227730, Cluster: 2, Dominant Topic: 3
Article ID: 1262570, Cluster: 2, Dominant Topic: 9
Article ID: 1281862, Cluster: 2, Dominant Topic: 0
Article ID: 1330472, Cluster: 2, Dominant Topic: 4
Article ID: 1438965, Cluster: 2, Dominant Topic: 6
Article ID: 1497495, Cluster: 2, Dominant Topic: 9
Article ID: 1596545, Cluster: 2, Dominant Topic: 4
Article ID: 1696099, Cluster: 2, Dominant Topic: 1
Article ID: 1807056, Cluster: 2, Dominant Topic: 6
Article ID: 1850283, Cluster: 2, Dominant Topic: 6
Article ID: 2095815, Cluster: 2, Dominant Topic: 7
Article ID: 425465, Cluster: 3, Dominant Topic: 8
Article ID: 517164, Cluster: 3, Dominant Topic: 8
Article ID: 733976, Cluster: 3, Dominant Topic: 0
Article ID: 560588, Cluster: 3, Dominant Topic: 5
Article ID: 896313, Cluster: 3, Dominant Topic: 2
Article ID: 615453, Cluster: 3, Dominant Topic: 4
Article ID: 1655560, Cluster: 3, Dominant Topic: 9
Article ID: 2224758, Cluster: 3, Dominant Topic: 6
