node_id,article_id,entity,entity_type,topic,sentiment,cluster_id,dominant_topic,downloaded_date,node
0,426218,European,NORP,6,0.2952,4,8,2022-03-25,European_4_8
1,426218,Russian,NORP,6,0.2952,4,8,2022-03-25,Russian_4_8
0,426218,European,NORP,6,0.2952,4,8,2022-03-25,European_4_8
1,426218,Russian,NORP,6,0.2952,4,8,2022-03-25,Russian_4_8
2,426218,Russia,GPE,6,0.2952,4,8,2022-03-25,Russia_4_8
3,426218,Ukraine,GPE,6,0.2952,4,8,2022-03-25,Ukraine_4_8
4,426218,The CERN Council,ORG,6,0.2952,4,8,2022-03-25,The CERN Council_4_8
5,426218,Geneva,GPE,6,0.2952,4,8,2022-03-25,Geneva_4_8
6,426218,23,CARDINAL,6,0.2952,4,8,2022-03-25,23_4_8
7,426218,Friday,DATE,6,0.2952,4,8,2022-03-25,Friday_4_8
2,426218,Russia,GPE,6,0.2952,4,8,2022-03-25,Russia_4_8
8,426218,Belarus,ORG,6,0.2952,4,8,2022-03-25,Belarus_4_8
1,426218,Russian,NORP,6,0.2952,4,8,2022-03-25,Russian_4_8
9,426218,Feb. 24,DATE,6,0.2952,4,8,2022-03-25,Feb. 24_4_8
10,426218,CERN,GPE,6,0.2952,4,8,2022-03-25,CERN_4_8
11,426218,the European Organization for Nuclear Research,ORG,6,0.2952,4,8,2022-03-25,the European Organization for Nuclear Research_4_8
12,426218,nearly 7%,PERCENT,6,0.2952,4,8,2022-03-25,nearly 7%_4_8
13,426218,"18,000-odd",CARDINAL,6,0.2952,4,8,2022-03-25,"18,000-odd_4_8"
1,426218,Russian,NORP,6,0.2952,4,8,2022-03-25,Russian_4_8
14,426218,March 8,DATE,6,0.2952,4,8,2022-03-25,March 8_4_8
2,426218,Russia,GPE,6,0.2952,4,8,2022-03-25,Russia_4_8
2,426218,Russia,GPE,6,0.2952,4,8,2022-03-25,Russia_4_8
2,426218,Russia,GPE,6,0.2952,4,8,2022-03-25,Russia_4_8
15,426218,third,ORDINAL,6,0.2952,4,8,2022-03-25,third_4_8
16,426218,next month,DATE,6,0.2952,4,8,2022-03-25,next month_4_8
17,426218,27-kilometer,QUANTITY,6,0.2952,4,8,2022-03-25,27-kilometer_4_8
18,426218,17-mile,QUANTITY,6,0.2952,4,8,2022-03-25,17-mile_4_8
5,426218,Geneva,GPE,6,0.2952,4,8,2022-03-25,Geneva_4_8
1,426218,Russian,NORP,6,0.2952,4,8,2022-03-25,Russian_4_8
7,426218,Friday,DATE,6,0.2952,4,8,2022-03-25,Friday_4_8
10,426218,CERN,GPE,6,0.2952,4,8,2022-03-25,CERN_4_8
1,426218,Russian,NORP,6,0.2952,4,8,2022-03-25,Russian_4_8
2,426218,Russia,GPE,6,0.2952,4,8,2022-03-25,Russia_4_8
8,426218,Belarus,GPE,6,0.2952,4,8,2022-03-25,Belarus_4_8
19,426218,the Joint Institute for Nuclear Research,ORG,6,0.2952,4,8,2022-03-25,the Joint Institute for Nuclear Research_4_8
20,426218,19,CARDINAL,6,0.2952,4,8,2022-03-25,19_4_8
21,426218,Dubna,GPE,6,0.2952,4,8,2022-03-25,Dubna_4_8
2,426218,Russia,GPE,6,0.2952,4,8,2022-03-25,Russia_4_8
22,426218,More than half,CARDINAL,6,0.2952,4,8,2022-03-25,More than half_4_8
23,426218,Soviet,NORP,6,0.2952,4,8,2022-03-25,Soviet_4_8
3,426218,Ukraine,GPE,6,0.2952,4,8,2022-03-25,Ukraine_4_8
24,426218,Cuba,GPE,6,0.2952,4,8,2022-03-25,Cuba_4_8
25,426218,the Czech Republic,GPE,6,0.2952,4,8,2022-03-25,the Czech Republic_4_8
26,426218,Poland,GPE,6,0.2952,4,8,2022-03-25,Poland_4_8
