article_id,entities
426218,"European (NORP); Russian (NORP); European (NORP); Russian (NORP); Russia (GPE); Ukraine (GPE); The CERN Council (ORG); Geneva (GPE); 23 (CARDINAL); Friday (DATE); Russia (GPE); Belarus (ORG); Russian (NORP); Feb. 24 (DATE); CERN (GPE); the European Organization for Nuclear Research (ORG); nearly 7% (PERCENT); 18,000-odd (CARDINAL); Russian (NORP); March 8 (DATE); Russia (GPE); Russia (GPE); Russia (GPE); third (ORDINAL); next month (DATE); 27-kilometer (QUANTITY); 17-mile (QUANTITY); Geneva (GPE); Russian (NORP); Friday (DATE); CERN (GPE); Russian (NORP); Russia (GPE); Belarus (GPE); the Joint Institute for Nuclear Research (ORG); 19 (CARDINAL); Dubna (GPE); Russia (GPE); More than half (CARDINAL); Soviet (NORP); Ukraine (GPE); Cuba (GPE); the Czech Republic (GPE); Poland (GPE); North Korea (GPE); Vietnam (GPE)"
426824,"Pfizer (ORG); Apple (ORG); Pepsi (ORG); Starbucks (ORG); Russia (GPE); Deirdre Bolton (PERSON); Russian (NORP); Vladimir Putin (PERSON); Ukraine (GPE); Russia (GPE); Russia (GPE); Russia (GPE); Kay Jewelers (ORG); Zales (PERSON); March 17 (DATE); Russian (NORP); Russian (NORP); Russian (NORP); March 14 (DATE); Russia (GPE); Russian (NORP); Ukraine (GPE); Pfizer (PERSON); Russia (GPE); first (ORDINAL); Russia (GPE); Russia (GPE); Today (DATE); Pfizer (ORG); Russian (NORP); Ukraine (GPE); March 11 (DATE); Russia (GPE); Russia (GPE); Deutsche Bank (ORG); Russian (NORP); 2014 (DATE); Russia (GPE); non-Russian (NORP); Russia (GPE); March 10 (DATE); Russia (GPE); Belarus (GPE); The Western Union Company (ORG); NYSE (ORG); WU (ORG); Ukraine (GPE); Ukraine (GPE); American (NORP); March 10 (DATE); Russia (GPE); Russian (NORP); Russia (GPE); March 10 (DATE); Russia (GPE); Goldman Sachs (ORG); Russia (GPE); Andrea Williams (PERSON); Japan (GPE); March 10 (DATE); Fast Retailing (ORG); Uniqlo (ORG); Russia (GPE); UNIQLO (ORG); Russia (GPE); today (DATE); Fast Retailing (PERSON); March 9 (DATE); Russia (GPE); Ukraine (GPE); Russian (NORP); Belarusian (NORP); Ukraine (GPE); Ukraine (GPE); American (NORP); March 8 (DATE); Russia (GPE); Russian (NORP); Ukraine (GPE); Russia (GPE); Last week (DATE); Apple Pay (ORG); RT News (ORG); Sputnik News (ORG); App Store (PERSON); Russia (GPE); Apple Maps (ORG); Ukraine (GPE); Ukrainian (NORP); Pepsi (ORG); Lays (GPE); Mountain Dew (PERSON); Gatorade (GPE); Aquafina (GPE); Tropicana (ORG); March 8 (DATE); Russia (GPE); Ramon Laguarta (PERSON); Russia (GPE); daily (DATE); McDonald's (ORG); American (NORP); March 8 (DATE); Russia (GPE); McDonald's (ORG); Russia (GPE); March 8 (DATE); Russia (GPE); today (DATE); Russia (GPE); Starbucks (ORG); nearly 2,000 (CARDINAL); Russia (GPE); Starbucks (ORG); March 8 (DATE); Russia (GPE); Belarus (GPE); Russia (GPE); Belarus (GPE); AWS (ORG); Amazon (ORG); third (ORDINAL); Russia (GPE); New World (ORG); Amazon (ORG); Russia (GPE); Russia (GPE); Ukraine (GPE); Russia (GPE); Belarus (GPE); Russia (GPE); Belarus (GPE); AWS (ORG); Amazon (ORG); third (ORDINAL); Russia (GPE); New World (ORG); Russia (GPE); March 6 (DATE); Russia (GPE); Belarus (GPE); Stephen J. Squeri (PERSON); Earlier today (TIME); Russia (GPE); American Express (ORG); Russia (GPE); Russia (GPE); Russian (NORP); American Express (ORG); Belarus (GPE); Russia (GPE); U.S. (GPE); American (NORP); March 6 (DATE); Russia (GPE); Russia (GPE); Netflix (ORG); American (NORP); March 5 (DATE); Russia (GPE); Mastercard (ORG); Russia (GPE); more than 25 years (DATE); nearly 200 (CARDINAL); American (NORP); March 5 (DATE); Russia (GPE); Al Kelly (ORG); Visa (ORG); Russia (GPE); Ukraine (GPE); Russia (GPE); IT & mobile (ORG); March 5 (DATE); Russia (GPE); American (NORP); March 4 (DATE); Russia (GPE); Brad Smith (PERSON); Russia (GPE); Ukraine (GPE); March 4 (DATE); Russia (GPE); Russia (GPE); Russia (GPE); American (NORP); March 4 (DATE); Russia (GPE); Belarus (GPE); Russia (GPE); Belarus (GPE); Russian (NORP); Origin (PERSON); EA (ORG); March 4 (DATE); Russia (GPE); Shantanu Narayen (PERSON); Adobe (PERSON); Adobe (ORG); Russia (GPE); American (NORP); March 3 (DATE); Russia (GPE); Belarus (GPE); Belarus (GPE); Russia (GPE); German (NORP); Status (ORG); March 3 (DATE); Russia (GPE); Russian (NORP); Ukraine (GPE); the Group Board of Management of Volkswagen AG (ORG); Russia (GPE); Russian (NORP); Kaluga (GPE); Nizhny Novgorod (PERSON); Swedish (NORP); Dutch (NORP); March 3 (DATE); Russia (GPE); Belarus (GPE); Inter IKEA Group (ORG); Russia (GPE); Belarus (GPE); Inter IKEA Group (ORG); IKEA Industry (ORG); Russia (GPE); Status (ORG); March 2 (DATE); Familia (GPE); Russian (NORP); Ukraine (GPE); Russian (NORP); Ukraine (GPE); The TJX Companies, Inc. (ORG); TJX (ORG); Familia (GPE); Ukraine (GPE); March 2, 2022 (DATE); Doug Mizzi (PERSON); Scott Goldenberg (PERSON); Familia (GPE); Board of Directors (ORG); TJX (ORG); Familia (GPE); TJX (ORG); Familia (GPE); March 2 (DATE); Russia (GPE); H&M Group (ORG); Ukraine (GPE); H&M Group (ORG); Russia (GPE); Ukraine (GPE); Comcast (ORG); the NBCUniversal Film and Entertainment (ORG); NBCUniversal (ORG); March 1 (DATE); Russia (GPE); Ukraine (GPE); Universal Pictures (ORG); Russia (GPE); American (NORP); Paramount Global (ORG); March 1 (DATE); Russia (GPE); Ukraine (GPE); Russia (GPE); The Lost City (GPE); Sonic (NORP); Ukraine (GPE); Russia (GPE); Google (ORG); March 1 (DATE); RT & Sputnik YouTube's (ORG); Europe (LOC); March 11 (DATE); Russia (GPE); Ukraine (GPE); Russia (GPE); Ukraine (GPE); Feb. 28 (DATE); Russia (GPE); Ukraine (GPE); Russia (GPE); Morbius (ORG); Sony Pictures Entertainment (ORG); The Walt Disney Company (ORG); American (NORP); ABC News (ORG); Feb. 28 (DATE); Russia (GPE); Ukraine (GPE); Russia (GPE); Pixar (PERSON); NGO (ORG); Feb. 27 (DATE); Ukraine (GPE); Belarus (GPE); Russia (GPE); Russia (GPE); ABC News' (ORG); Justin Gomez (PERSON); Will Kim (PERSON); Christine Theodorou (PERSON); William Gretsky (PERSON); Zunaira Zaki (PERSON); Alexandra Faul (PERSON); Victor Ordonez (PERSON); Matt Foster (PERSON); Isabella Murray (PERSON); Peter Madden (PERSON)"
436119,Boston (GPE); BOSTON (GPE); Boston (GPE); Saturday (DATE); evening (TIME); Boston Emergency Medical Services (ORG); one (CARDINAL); second (ORDINAL); WCVB-TV (ORG); ninth (ORDINAL); John Moriarty & Associates (ORG); Boston Fire (ORG); Jack Dempsey (PERSON); Dempsey (PERSON); Boston (GPE); Michelle Wu (PERSON); Dempsey (PERSON); the Boston Inspection Services (ORG); Suffolk County (GPE); Kevin Hayden (PERSON); John Moriarty & Associates (ORG); the Boston Police Department (ORG); EMS (ORG)
578564,"Chinese (NORP); Australian (NORP); China (GPE); August 2020 (DATE); next week (DATE); Australian (NORP); Saturday (DATE); March 30, 2022 (DATE); BEIJING (GPE); Chinese (NORP); Australian (NORP); China (GPE); August 2020 (DATE); next week (DATE); Australian (NORP); Saturday (DATE); Cheng Lei (PERSON); China (GPE); CGTN (ORG); Chinese (NORP); Australia (GPE); Thursday (DATE); Australian (NORP); Marise Payne (PERSON); The National Press Clubs (ORG); the United States (GPE); Australia (GPE); CGTN (ORG); last year (DATE); U.S. National Press Club (ORG); Australia (GPE); Cheng (PERSON); Payne (ORG); March 21 (DATE); Cheng (PERSON); China (GPE); the University of Queensland (ORG); Australia (GPE); Cadbury Schweppes (ORG); ExxonMobil (ORG); 1995 to 2000 (DATE); CGTN (ORG); China (GPE); 2001 (DATE); CCTV (ORG); the following year (DATE); China (GPE); CNBC (ORG); Asia (LOC); nine years (DATE); CCTV (ORG); 2012 (DATE); CGTN (ORG)"
2015530,"Russia (GPE); Ukraine (GPE); Middle Eastern (LOC); North African (NORP); Ukraine (GPE); Russian (NORP); BEIRUT -- Layal Aswad (ORG); Lebanon (GPE); two-year (DATE); Russia (GPE); Ukraine (GPE); four (CARDINAL); 48-year-old (DATE); Lebanon (GPE); Iraq (GPE); Syria (GPE); Sudan (GPE); Yemen (GPE); millions (CARDINAL); the Middle East (LOC); Ukraine (GPE); Russia (GPE); a third (CARDINAL); the Middle East (LOC); millions (CARDINAL); Ukraine (GPE); the Middle East (LOC); North Africa (GPE); Lama Fakih (PERSON); Middle East (LOC); North Africa (GPE); Human Rights Watch (ORG); late 2010 (DATE); the Arab Spring (EVENT); the Middle East (LOC); Kristalina Georgieva (PERSON); the International Monetary Fund (ORG); Georgieva (PERSON); Sunday (DATE); the Doha Forum (FAC); Qatar (GPE); Iraq (GPE); Sudan (GPE); the past several weeks (DATE); Fakih (PERSON); Arab (NORP); Ukraine (GPE); more than 3.7 million (CARDINAL); Europe (LOC); World War II (EVENT); millions (CARDINAL); Palestinians (NORP); Lebanese (NORP); Yemenis (NORP); Syrians (NORP); Carnegie Middle East (LOC); last week (DATE); Syria (GPE); 14.6 million (CARDINAL); this year (DATE); 9% (PERCENT); 2021 (DATE); 32% (PERCENT); 2020 (DATE); Joyce Msuya (PERSON); the United Nations (ORG); the U.N. Security Council (ORG); February (DATE); Yemen (GPE); millions (CARDINAL); seven years (DATE); U.N. (ORG); more than 160,000 (CARDINAL); Yemen (GPE); 2022 (DATE); Ukraine (GPE); U.N. (ORG); earlier this month (DATE); $1.3 billion (MONEY); less than a third (CARDINAL); Ghalib al-Najjar (PERSON); 48-year-old (DATE); Yemeni (NORP); seven (CARDINAL); Sanaa (GPE); more than four years ago (DATE); Lebanon (GPE); the past two years (DATE); Beirut (GPE); 2020 (DATE); just six weeks (DATE); darker days ahead (DATE); this week (DATE); Hani Bohsali (PERSON); 60% (PERCENT); Lebanon (GPE); Ukraine (GPE); Russia (GPE); Bohsali (PERSON); 5 (CARDINAL); 1 gallon (CARDINAL); Lebanon (GPE); monthly (DATE); 675,000 Lebanese pounds (QUANTITY); 29 (MONEY); around 90% (PERCENT); October 2019 (DATE); Aswad’s (ORG); monthly (DATE); the day (DATE); Picon (ORG); Aswad (PERSON); Syria (GPE); more than 11 years (DATE); more than 90% (PERCENT); the month (DATE); Ukraine (GPE); a recent day (DATE); one (CARDINAL); Damascus (GPE); Egypt (GPE); about a third (CARDINAL); more than 103 million (CARDINAL); Associated Press (ORG); three (CARDINAL); Cairo (GPE); earlier this month (DATE); Egyptians (NORP); up to 50% (PERCENT); Muslim (NORP); Ukraine (GPE); Doaa el-Sayed (PERSON); Egyptian (NORP); three (CARDINAL); Libya (GPE); Gaza (GPE); Ukraine (GPE); 2 million (CARDINAL); Palestinian (NORP); years (DATE); Fayeq Abu Aker (PERSON); Gaza (GPE); Turkish (NORP); Aker (PERSON); Egypt (GPE); Gaza (GPE); four (CARDINAL); 26 (MONEY); 40 years (DATE); Associated Press (ORG); Bassem Mroue (ORG); Beirut (GPE); Sammy Magdy (PERSON); Cairo (GPE); Wafaa Shurafa (PERSON); Gaza City (GPE); Rami Musa (PERSON); Benghazi (GPE); Libya (GPE)"
340497,Donald Trump (PERSON); November (DATE); the national Republican Party Trump (ORG); Ga. (GPE); Donald Trump's (PERSON); the Republican Party (ORG); Georgia (GPE); Herschel Walker (PERSON); U.S. Senate (ORG); Trump (ORG); David Perdue (PERSON); Brian Kemp (PERSON); Kemp (ORG); 2020 (DATE); Perdue (NORP); Trump (ORG); Republican (NORP); Vernon Jones (PERSON); Congress (ORG); Georgia (GPE); Saturday (DATE); night (TIME); May 24 (DATE); GOP (ORG); Democrat (NORP); socialists (NORP); communists (NORP); first (ORDINAL); RINO (ORG); this spring (DATE); Trump (ORG); Kemp (PERSON); Republican (NORP); Republican (NORP); Brian Kemp (PERSON); Trump (WORK_OF_ART); Republican (NORP); Stacey Abrams (PERSON); Democrat (NORP); second (ORDINAL); Kemp (PERSON); Stacey Abrams (PERSON); Cody Hall (PERSON); Kemp (PERSON); Trump (ORG); 50% (PERCENT); Fox News (ORG); this month (DATE); Kemp (ORG); 50% to 39% (PERCENT); Kemp (PERSON); Eric Tanenblatt (PERSON); ex-Georgia (ORG); Republican (NORP); Sonny Perdue (PERSON); David Perdue (PERSON); Kemp (PERSON); Trump (ORG); Commerce (ORG); Georgia (GPE); Kemp (ORG); Trump (ORG); 2020 (DATE); Kemp (PERSON); Georgia (GPE); Jan. 6 (DATE); Kemp (PERSON); Trump (ORG); Trump (ORG); Trump (PERSON); Brian Kemp (PERSON); Brian (PERSON); the last two years (DATE); 2020 (DATE); Trump (ORG); Trump (ORG); Republican (NORP); 2020 (DATE); first (ORDINAL); GOP (ORG); 28 years (DATE); the White House (ORG); 2024 (DATE); Trump (ORG); days (DATE); Trump (ORG); Georgia (GPE); State (ORG); Brad Raffensperger (PERSON); Joe Biden’s (PERSON); Atlanta (GPE); Georgia (GPE); one (CARDINAL); Biden (PERSON); Georgia (GPE); GOP (ORG); Alabama Republican Senate (ORG); Mo Brooks (PERSON); Wednesday (DATE); North Carolina (GPE); next month (DATE); North Carolina's (GPE); Senate (ORG); Republican (NORP); U.S. (GPE); Ted Budd (PERSON); Pat McCrory (PERSON); Trump (ORG); Pennsylvania (GPE); Senate (ORG); GOP (ORG); Trump (ORG); Senate (ORG); Ohio (GPE); Missouri (GPE); Trump (ORG); Republican (NORP); Liz Cheney (PERSON); Wyoming (GPE); Lisa Murkowski (PERSON); Alaska (GPE); Trump (ORG); more than a year (DATE); Kemp (PERSON); Saturday (DATE); the Columbia County Republican Party (ORG); Augusta (GPE); $12.7 million (MONEY); Jan. 31 (DATE); Perdue (NORP); less than $1 million (MONEY); January (DATE); at least $4.2 million (MONEY); Georgia (GPE); Trump (ORG); GOP (ORG); 2.0 (CARDINAL); Geoff Duncan (PERSON); Georgia (GPE); 2020 (DATE); Duncan (PERSON); Republican (NORP); Trump (ORG); first (ORDINAL); 30-second (TIME); Duncan (PERSON); David Perdue (PERSON); Donald Trump (PERSON); Georgia (GPE); Duncan (PERSON); Georgians (PERSON); Donald Trump (PERSON); Duncan (PERSON); Duncan (PERSON); Trump (ORG); Trump (ORG); Just this week (DATE); John Gordon (PERSON); Chris Carr (PERSON); Patrick Witt (PERSON); Insurance (ORG); John King (PERSON); Republican (NORP); Kemp (ORG); Trump (ORG); Weissert (PERSON); Washington (GPE); Associated Press (ORG); Jill Colvin (PERSON); New York (GPE)
372284,White House (ORG); Karine Jean-Pierre (PERSON); COVID-19 (ORG); Europe (LOC); Joe Biden (PERSON); White House (ORG); COVID (ORG); WASHINGTON (GPE); White House (ORG); Karine Jean-Pierre (PERSON); COVID-19 (PERSON); Sunday (DATE); Europe (LOC); Joe Biden (PERSON); the West Wing's (FAC); Biden (PERSON); Jean-Pierre (PERSON); Biden (PERSON); Saturday (DATE); Biden (PERSON); Centers for Disease Control and Prevention (ORG); Jean-Pierre (PERSON); Belgium (GPE); Poland (GPE); Biden (PERSON); Jen Psaki (PERSON); last week (DATE); Biden (PERSON); the White House (ORG); early Sunday morning (TIME); four-day (DATE); NATO (ORG); Russia (GPE); Ukraine (GPE); Jean-Pierre (PERSON); White House (ORG); five-day (DATE); The White House (ORG); Biden (PERSON); 79 (DATE); COVID-19 (ORG); U.S. (GPE)
2222860,Will Smith (PERSON); Chris Rock (PERSON); Oscars (ORG); NEW YORK (GPE); Will Smith's (PERSON); first (ORDINAL); JANET JACKSON'S (PERSON); SUPER BOWL SHOW (EVENT); Janet Jackson (PERSON); Justin Timberlake (PERSON); Rock Your Body” duet (WORK_OF_ART); 2004 (DATE); Super Bowl (EVENT); some 90 million (CARDINAL); Broadcaster CBS (PERSON); today (DATE); Jackson (PERSON); KANYE INTERRUPTS TAYLOR SWIFT (ORG); 19-year-old (DATE); Taylor Swift (PERSON); 2009 (DATE); MTV Video Music Awards (ORG); Kanye West (PERSON); the Radio City Music Hall (ORG); Swift (PERSON); Beyonce (PERSON); one (CARDINAL); Warren Beatty (PERSON); 2017 (DATE); Faye Dunaway (FAC); La La Land (WORK_OF_ART); Oscar (PERSON); Beatty (PERSON); nearly 2 minutes (TIME); Moonlight (WORK_OF_ART); night (TIME); 1992 (DATE); Saturday Night Live (WORK_OF_ART); Bob Marley (PERSON); Sinead O'Connor (PERSON); John Paul II (PERSON); Frank Sinatra (PERSON); one (CARDINAL); O'Connor (PERSON); 1 (CARDINAL); Bob Dylan (PERSON); Love Sick (WORK_OF_ART); the Grammy Awards (FAC); 1998 (DATE); Michael Portnoy (PERSON); Hollywood (GPE); UNIVERSE (ORG); 2015 (DATE); Universe (PERSON); Steve Harvey (PERSON); a few minutes (TIME); Colombian (NORP); Harvey (PERSON); first (ORDINAL); Philippines (GPE); Harvey (ORG); 1974 (DATE); Ray Stevens (PERSON); Los Angeles (GPE); Robert Opel (PERSON); year (DATE); David Niven (PERSON); 1979 (DATE)
413742,Will Smith (PERSON); Chris Rock (PERSON); Oscars (ORG); Will Smith (PERSON); Chris Rock (PERSON); NEW YORK (GPE); Will Smith (PERSON); Chris Rock (PERSON); Oscars (ORG); Kathy Griffin (PERSON); Twitter (PRODUCT); Will Smith (PERSON); Jada Pinkett Smith (FAC); Jada (PERSON); Rock’s (ORG); 1997 (DATE); G.I. Jane (WORK_OF_ART); Demi Moore (PERSON); Navy (ORG); Will Smith (PERSON); Rock (GPE); Smith (PERSON); Pinkett Smith (PERSON); Smith (PERSON); second (ORDINAL); Smith (GPE); Oscar (PERSON); Smith (GPE); Chris Rock (PERSON); Chris (PERSON); Rob Reiner (PERSON); Twitter (PRODUCT); George Takei (PERSON); Smith (ORG); Pinkett Smith (PERSON); 2018 (DATE); Instagram (ORG); Good Hair (WORK_OF_ART); African American (NORP); Nicki Minaj (PERSON); Pinkett Smith's (PERSON); Twitter (PRODUCT); Smith (GPE); Daniel Kaluuya (PERSON); Nicole Kidman (PERSON); Keith Urban (ORG); the hours later (TIME); ProtectBlackWomen (MONEY); AP (ORG); Rock (ORG); years (DATE); Ricky Gervais (PERSON); Leonardo DiCaprio (PERSON); Judi Dench (PERSON); Felicity Huffman (PERSON); Judd Apatow (PERSON); Smith (GPE); Twitter (PERSON); decades (DATE); the last three decades (DATE); Hollywood (GPE); Richard Marx (PERSON); Mark Hamill (PERSON); Oscar (PERSON); Janai Nelson (PERSON); the NAACP Legal Defense and Educational Fund (ORG); tonight (TIME); late-night (TIME); Conan O’Brien (PERSON); Twitter (PERSON); late night (TIME); tomorrow (DATE); The Associated Press' (ORG); Jill Dobson (PERSON); Mark Kennedy (PERSON); http://twitter.com/KennedyTwits (NORP); AP (ORG); Oscar (WORK_OF_ART)
413890,"Joe Biden (PERSON); Democratic Party (ORG); White House (ORG); Biden (PERSON); Putin (PERSON); WASHINGTON (GPE); Joe Biden (PERSON); Monday (DATE); the White House (FAC); Shalanda Young (PERSON); Biden (PERSON); America (GPE); Democratic Party (ORG); Congress (ORG); Biden (PERSON); $5.8 trillion (MONEY); fiscal 2023 (DATE); October (DATE); this year (DATE); this month (DATE); $1.15 trillion (MONEY); $795 billion (MONEY); $915 billion (MONEY); Social Security (ORG); Medicare (ORG); Medicaid (ORG); Monday (DATE); $361 billion (MONEY); 10 years (DATE); 0.01% (PERCENT); another $1.4 trillion (MONEY); the next decade (DATE); Biden (PERSON); less than $400,000 (MONEY); 156 (CARDINAL); Biden (PERSON); Biden (PERSON); Congress (ORG); 20% (PERCENT); $100 million (MONEY); Democrats (NORP); Congress (ORG); late last year (DATE); Biden (PERSON); West Virginia (LOC); Joe Manchin (PERSON); last November (DATE); 40-year (DATE); next year (DATE); Biden (PERSON); today (DATE); America (GPE); a chaotic few years (DATE); U.S. (GPE); Ukraine (GPE); Biden (PERSON); annual (DATE); more than $1 trillion (MONEY); the next decade (DATE); 2020 (DATE); Congress (ORG); annual (DATE); Republican (NORP); $1 trillion (MONEY); annually (DATE); Biden (PERSON); American (NORP); Jason Smith (PERSON); Missouri (GPE); Republican (NORP); the House Budget Committee (ORG); Biden (PERSON); Congress (ORG); 28% (PERCENT); more than $100 million (MONEY); John Gimigliano (PERSON); federal legislative & regulatory services (ORG); KPMG (ORG); ’s (NORP); months (DATE); Gimigliano (PERSON); $48 billion (MONEY); Biden (PERSON); Build Back Better (WORK_OF_ART); last year (DATE); Democratic (NORP); White House (ORG); Shalanda Young (PERSON); Congress (ORG); Biden (PERSON); last year (DATE); 20% (PERCENT); $100 million (MONEY); Biden (PERSON); Monday (DATE); $361 billion (MONEY); 10 years (DATE); 0.01% (PERCENT); another $1.4 trillion (MONEY); the next decade (DATE); 28% (PERCENT); 39.6% (PERCENT); next year (DATE); 4.7% (PERCENT); this year (DATE); 2.3% (PERCENT); 2023 (DATE); 7% (PERCENT); 2021 (DATE); the first two months of 2022 (DATE); Russia (GPE); Ukraine (GPE); Cecilia (GPE); the White House Council of Economic Advisers (ORG); Rouse (PERSON)"
