entity,cluster,topic,article_id,entity_type,sum_sentiment,sum_pos,sum_neg,weight_pos,weight_neg,weight,downloaded_date
125th,2,3,[2095815],['GPE'],-0.4215,0.0,-0.4215,0,1,1,['2022-04-18']
126th,0,0,[2025595],['ORG'],0.7096,0.7096,0.0,1,0,1,['2022-04-14']
1st Cavalry Division,4,6,[2062426],['ORG'],-0.7184,0.0,-0.7184,0,1,1,['2022-04-16']
2nd Brigade,4,6,[2062426],['ORG'],-0.7184,0.0,-0.7184,0,1,1,['2022-04-16']
@ZelenskyyUa,4,2,[1878824],['PERSON'],0.7096,0.7096,0.0,1,0,1,['2022-04-09']
AAA,7,8,[623380],['ORG'],0.0,0.0,0.0,0,0,0,['2022-03-31']
AAP,6,6,[2207612],['ORG'],-0.5994,0.0,-0.5994,0,1,1,['2022-04-25']
ABC,1,2,[2081578],['ORG'],0.296,0.296,0.0,1,0,1,['2022-04-17']
ABC,2,1,"[1227730, 1438965, 1281862]",['ORG'],-0.7273000000000001,0.5574,-1.2847,1,3,4,"['2022-04-04', '2022-04-05']"
ABC,2,4,[597596],['ORG'],-0.5242,0.0,-0.5242,0,2,2,['2022-03-31']
ABC,2,5,[512396],['ORG'],0.5423,0.5423,0.0,1,0,1,['2022-03-30']
ABC,2,7,[449428],['ORG'],-0.5859,0.0,-0.5859,0,1,1,['2022-03-29']
ABC,5,1,[2097544],['ORG'],-0.7003,0.0,-0.7003,0,1,1,['2022-04-18']
ABC,5,5,[2069978],['ORG'],-0.7579,0.0,-0.7579,0,1,1,['2022-04-17']
ABC,5,9,"[1227928, 2119419]",['ORG'],-0.6597,0.0,-0.6597,0,1,1,"['2022-04-03', '2022-04-20']"
ABC,6,4,[524887],['ORG'],0.0,0.0,0.0,0,0,0,['2022-03-29']
ABC,7,1,"[1089225, 517635]",['ORG'],-0.2732,0.0,-0.2732,0,1,1,"['2022-04-03', '2022-03-30']"
ABC,8,0,[825466],['ORG'],0.0,0.0,0.0,0,0,0,['2022-04-01']
ABC News,0,0,[2025595],['ORG'],0.7397,0.7397,0.0,2,0,2,['2022-04-14']
ABC News,0,3,[2115319],['ORG'],-0.743,0.0,-0.743,0,1,1,['2022-04-18']
ABC News,1,1,"[2010882, 734285]",['ORG'],-0.6808,0.0,-0.6808,0,1,1,"['2022-04-01', '2022-04-13']"
ABC News,1,3,[2351271],['ORG'],1.2618,1.2618,0.0,2,0,2,['2022-05-07']
ABC News,1,5,[2026013],['ORG'],-0.3919,0.0,-0.3919,0,1,1,['2022-04-12']
ABC News,2,0,[634084],['ORG'],0.30039999999999994,0.5267,-0.2263,1,1,2,['2022-03-31']
ABC News,2,1,"[1227730, 1438965]",['ORG'],1.3479999999999999,1.3479999999999999,0.0,5,0,5,"['2022-04-04', '2022-04-05']"
ABC News,2,2,[821274],['ORG'],-0.6914,0.0516,-0.743,1,1,2,['2022-04-01']
ABC News,2,4,"[439459, 597596]",['ORG'],0.18439999999999998,0.6611,-0.4767,2,1,3,"['2022-03-28', '2022-03-31']"
ABC News,2,5,"[541160, 512396, 422893]",['ORG'],0.8648999999999999,1.3416000000000001,-0.4767,5,1,6,"['2022-03-28', '2022-03-30']"
ABC News,2,6,[898818],['ORG'],0.3182,0.4462,-0.128,2,1,3,['2022-04-02']
ABC News,2,7,"[1138187, 449428]",['ORG'],0.3429,0.6611,-0.3182,2,1,3,"['2022-04-01', '2022-03-29']"
