article_id,tweet_id,parent_id,entity,entity_type,cluster,topic,sentiment,timestamp
340497,340497_1,0,Georgia,GPE,2,3,-0.1531,2022-03-27 13:19:04+00:00
340497,340497_2,0,Georgia,GPE,2,3,-0.1531,2022-03-27 13:20:04+00:00
340497,340497_4,0,Georgia,GPE,2,3,-0.1531,2022-03-27 15:52:24+00:00
340497,340497_5,0,Georgia,GPE,2,3,-0.1531,2022-03-27 15:59:50+00:00
340497,340497_6,0,Georgia,GPE,2,3,-0.1531,2022-03-27 17:23:16+00:00
340497,340497_7,0,Georgia,GPE,2,3,-0.1531,2022-03-27 18:47:47+00:00
340497,340497_9,0,Georgia,GPE,2,3,-0.1531,2022-03-28 02:18:07+00:00
340497,340497_11,0,Georgia,GPE,2,3,-0.1531,2022-03-28 07:23:52+00:00
340497,340497_13_201775458,340497_13,American,NORP,2,3,-0.9217,2022-03-28T14:20:59+0000
340497,340497_13_201775458,340497_13,American,NORP,2,3,-0.9217,2022-03-28T14:20:59+0000
340497,340497_13_201775458,340497_13,Laws,PERSON,2,3,-0.9217,2022-03-28T14:20:59+0000
340497,340497_14,0,Kemp,PERSON,2,3,-0.8555,2022-03-28 00:19:27+00:00
340497,340497_14,0,Georgia,GPE,2,3,-0.8555,2022-03-28 00:19:27+00:00
372284,372284_1,0,COVID,ORG,6,6,0.5574,2022-03-28 01:23:04+00:00
372284,372284_2,0,COVID,ORG,6,6,0.5574,2022-03-28 01:24:33+00:00
372284,372284_3,0,COVID,ORG,6,6,0.5574,2022-03-28 01:24:33+00:00
372284,372284_4,0,COVID,ORG,6,6,0.5574,2022-03-28 01:33:57+00:00
372284,372284_5,0,COVID,ORG,6,6,0.5574,2022-03-28 01:33:57+00:00
372284,372284_6,0,COVID,ORG,6,6,0.5574,2022-03-28 02:02:34+00:00
372284,372284_8,0,COVID,ORG,6,6,0.5574,2022-03-28 02:08:05+00:00
372284,372284_9,0,COVID,ORG,6,6,0.5574,2022-03-28 02:28:21+00:00
372284,372284_12,0,COVID,ORG,6,6,0.5574,2022-03-28 05:22:39+00:00
372284,372284_13,0,White House,ORG,6,6,0.5574,2022-03-28 10:13:24+00:00
372284,372284_13,0,Karine Jean Pierre,PERSON,6,6,0.5574,2022-03-28 10:13:24+00:00
372284,372284_13,0,Joe,PERSON,6,6,0.5574,2022-03-28 10:13:24+00:00
372284,372284_14,0,WhiteHouse,ORG,6,6,0.8494,2022-03-28 10:44:21+00:00
372284,372284_14,0,Karine Jean Pierre,PERSON,6,6,0.8494,2022-03-28 10:44:21+00:00
372284,372284_14,0,COVID,ORG,6,6,0.8494,2022-03-28 10:44:21+00:00
372284,372284_14,0,Joe R,PERSON,6,6,0.8494,2022-03-28 10:44:21+00:00
372284,372284_15,0,COVID,ORG,6,6,0.5574,2022-03-28 11:05:30+00:00
372284,372284_16,0,COVID,ORG,6,6,0.5574,2022-03-28 13:03:06+00:00
372284,372284_19,0,White House,ORG,6,6,0.1027,2022-03-28 20:29:07+00:00
372284,372284_19,0,Andrew Bates Pres,PERSON,6,6,0.1027,2022-03-28 20:29:07+00:00
372284,372284_19,0,COVID,ORG,6,6,0.1027,2022-03-28 20:29:07+00:00
372284,372284_19,0,Jen Psaki Karine Jean Pierre,PERSON,6,6,0.1027,2022-03-28 20:29:07+00:00
372284,372284_19,0,Jen,PERSON,6,6,0.1027,2022-03-28 20:29:07+00:00
372284,372284_19_2951742165,372284_19,ABCPolitics Supreme Court,ORG,6,6,0.886,2022-03-28T20:29:41+0000
372284,372284_19_2951742165,372284_19,tugLbJJIWf,PERSON,6,6,0.886,2022-03-28T20:29:41+0000
372284,372284_19_1506378290302398466,372284_19,WH,ORG,6,6,0.7096,2022-03-28T20:30:10+0000
372284,372284_19_1506378290302398466,372284_19,Trumps,PERSON,6,6,0.7096,2022-03-28T20:30:10+0000
372284,372284_19_1503724047858868225,372284_19,Sable Bank co,ORG,6,6,0.3818,2022-03-28T20:46:51+0000
413742,413742_1,0,Comedians,NORP,8,9,-0.2263,2022-03-28 15:52:02+00:00
413742,413742_1,0,Smith Oscar,PERSON,8,9,-0.2263,2022-03-28 15:52:02+00:00
413742,413742_2,0,Comedians,NORP,8,9,-0.2263,2022-03-28 16:06:13+00:00
413742,413742_2,0,Smith Oscar,PERSON,8,9,-0.2263,2022-03-28 16:06:13+00:00
413742,413742_3,0,Comedians,NORP,8,9,-0.2263,2022-03-28 16:10:29+00:00
413742,413742_3,0,Smith Oscar,PERSON,8,9,-0.2263,2022-03-28 16:10:29+00:00
413742,413742_4,0,Comedians,NORP,8,9,-0.2263,2022-03-28 16:44:20+00:00
413742,413742_4,0,Smith Oscar,PERSON,8,9,-0.2263,2022-03-28 16:44:20+00:00
413742,413742_5,0,Smith,GPE,8,9,0.0,2022-03-28 17:00:10+00:00
413742,413742_5,0,Pinkett Smith,PERSON,8,9,0.0,2022-03-28 17:00:10+00:00
413742,413742_5,0,WILLsmith ChrisRock,ORG,8,9,0.0,2022-03-28 17:00:10+00:00
413742,413742_6,0,Smith,GPE,8,9,0.0,2022-03-28 17:00:10+00:00
413742,413742_6,0,Pinkett Smith,PERSON,8,9,0.0,2022-03-28 17:00:10+00:00
413742,413742_6,0,WILLsmith ChrisRock,ORG,8,9,0.0,2022-03-28 17:00:10+00:00
413742,413742_7,0,Comedians,NORP,8,9,-0.2263,2022-03-28 17:01:26+00:00
